iter	Passed	Remaining
466	781	891
467	783	890
468	784	888
469	786	887
470	788	885
471	790	883
472	791	881
473	793	880
474	796	880
475	800	881
476	802	880
477	806	880
478	808	879
479	810	878
480	812	876
481	815	875
482	817	875
483	819	873
484	820	871
485	821	869
486	823	867
487	827	867
488	829	867
489	831	865
490	833	864
491	835	863
492	840	864
493	842	862
494	844	861
495	846	859
496	856	866
497	857	864
498	858	862
499	860	860
500	863	860
501	865	858
502	867	857
503	868	854
504	869	852
505	871	850
506	873	848
507	874	846
508	876	845
509	878	843
510	882	844
511	884	842
512	885	840
513	887	838
514	888	836
515	891	836
516	893	834
517	894	832
518	896	830
519	897	828
520	900	827
521	904	827
522	905	825
523	906	823
524	907	821
525	908	819
526	911	818
527	915	818
528	916	816
529	917	813
530	919	811
531	920	809
532	922	808
533	925	807
534	926	805
535	929	804
536	930	802
537	932	800
538	934	799
539	936	798
540	939	797
541	941	795
542	943	793
543	944	791
544	945	789
545	946	787
546	948	785
547	950	783
548	952	782
549	953	780
550	954	778
551	956	776
552	958	774
553	959	772
554	960	770
555	962	768
556	962	765
557	964	763
558	966	762
559	969	761
560	971	760
561	972	758
562	974	756
563	976	754
564	978	753
565	980	751
566	981	749
567	982	747
568	984	745
569	985	743
570	986	741
571	988	739
572	989	737
573	991	735
574	992	733
575	993	731
576	995	729
577	996	727
578	997	725
579	1000	724
580	1001	722
581	1002	720
582	1004	718
583	1004	715
584	1006	713
585	1008	712
586	1010	710
587	1011	708
588	1013	707
589	1014	704
590	1015	702
591	1016	700
592	1018	698
593	1019	696
594	1020	694
595	1021	692
596	1022	690
597	1024	688
598	1025	686
599	1026	684
600	1027	682
601	1028	680
602	1030	678
603	1031	676
604	1033	674
605	1035	673
606	1037	671
607	1039	669
608	1040	668
609	1042	666
610	1043	664
611	1045	662
612	1047	661
613	1048	659
614	1049	657
615	1051	655
616	1052	653
617	1054	651
618	1057	650
619	1058	649
620	1060	647
621	1061	645
622	1066	645
623	1067	643
624	1068	641
625	1069	639
626	1070	636
627	1071	634
628	1080	637
629	1082	636
630	1084	634
631	1085	632
632	1088	631
633	1090	629
634	1091	627
635	1092	625
636	1093	623
637	1094	621
638	1095	619
639	1098	617
640	1099	615
641	1100	613
642	1101	611
643	1102	609
644	1103	607
645	1104	605
646	1106	603
647	1107	601
648	1108	599
649	1109	597
650	1111	595
651	1112	593
652	1113	591
653	1115	590
654	1117	588
655	1119	586
656	1120	585
657	1121	583
658	1123	581
659	1123	579
660	1124	576
661	1126	575
662	1128	573
663	1129	571
664	1131	570
665	1132	567
666	1133	565
667	1134	563
668	1136	562
669	1138	560
670	1140	559
671	1141	557
672	1142	554
673	1143	553
674	1145	551
675	1146	549
676	1148	547
677	1148	545
678	1150	543
679	1151	541
680	1152	539
681	1153	537
682	1155	536
683	1156	534
684	1157	532
685	1158	530
686	1159	528
687	1160	526
688	1161	524
689	1165	523
690	1166	521
691	1166	519
692	1167	517
693	1169	515
694	1170	513
695	1171	511
696	1173	510
697	1175	508
698	1176	506
699	1177	504
700	1178	502
701	1179	500
702	1180	498
703	1182	497
704	1184	495
705	1185	493
706	1186	491
707	1187	489
708	1188	487
709	1190	486
710	1195	486
711	1197	484
712	1198	482
713	1199	480
714	1200	478
715	1201	476
716	1203	475
717	1206	473
718	1207	471
719	1208	470
720	1209	468
721	1210	466
722	1211	464
723	1214	462
724	1216	461
725	1217	459
726	1218	457
727	1220	455
728	1221	453
729	1221	451
730	1225	450
731	1227	449
732	1228	447
733	1228	445
734	1229	443
735	1231	441
736	1232	439
737	1235	438
738	1236	436
739	1237	434
740	1239	433
741	1240	431
742	1242	429
743	1242	427
744	1244	426
745	1245	424
746	1246	422
747	1248	420
748	1250	418
749	1250	416
750	1251	415
751	1253	413
752	1255	411
753	1256	409
754	1257	408
755	1259	406
756	1260	404
757	1261	402
758	1263	401
759	1265	399
760	1266	397
761	1268	396
762	1269	394
763	1270	392
764	1272	390
765	1273	389
766	1275	387
767	1276	385
768	1277	383
769	1278	381
770	1279	380
771	1281	378
772	1284	377
773	1285	375
774	1286	373
775	1287	371
776	1288	369
777	1289	368
778	1290	366
779	1292	364
780	1293	362
781	1295	361
782	1296	359
783	1297	357
784	1298	355
785	1301	354
786	1302	352
787	1303	350
788	1304	348
789	1305	347
790	1306	345
791	1307	343
792	1309	341
793	1310	339
794	1311	338
795	1312	336
796	1313	334
797	1314	332
798	1315	331
799	1317	329
800	1318	327
801	1320	325
802	1321	324
803	1323	322
804	1325	320
805	1326	319
806	1329	317
807	1330	316
808	1331	314
809	1332	312
810	1333	310
811	1334	309
812	1336	307
813	1337	305
814	1338	303
815	1339	302
816	1341	300
817	1343	298
818	1344	297
819	1347	295
820	1348	294
821	1350	292
822	1352	290
823	1353	289
824	1354	287
825	1357	285
826	1359	284
827	1359	282
828	1361	280
829	1362	279
830	1363	277
831	1364	275
832	1366	273
833	1368	272
834	1369	270
835	1370	268
836	1371	267
837	1372	265
838	1373	263
839	1379	262
840	1381	261
841	1385	259
842	1390	258
843	1392	257
844	1394	255
845	1399	254
846	1402	253
847	1405	251
848	1412	251
849	1414	249
850	1415	247
851	1419	246
852	1421	244
853	1423	243
854	1424	241
855	1426	239
856	1427	238
857	1428	236
858	1429	234
859	1430	232
860	1432	231
861	1433	229
862	1434	227
863	1436	226
864	1438	224
865	1439	222
866	1440	220
867	1441	219
868	1443	217
869	1444	215
870	1446	214
871	1447	212
872	1448	210
873	1449	208
874	1450	207
875	1451	205
876	1452	203
877	1453	201
878	1454	200
879	1456	198
880	1457	196
881	1458	195
882	1459	193
883	1461	191
884	1462	190
885	1464	188
886	1465	186
887	1466	184
888	1467	183
889	1469	181
890	1469	179
891	1470	178
892	1473	176
893	1475	174
894	1476	173
895	1477	171
896	1478	169
897	1479	168
898	1480	166
899	1485	165
900	1486	163
901	1487	161
902	1488	159
903	1489	158
904	1490	156
905	1491	154
906	1493	153
907	1495	151
908	1496	149
